Country,Country Code,Year,Male-Female ratio,Total suicide rate
Canada,CAN,1986,3.5934864689999997,13.58978
Canada,CAN,1987,3.641133298,13.16523
Canada,CAN,1988,3.653413579,12.67723
Canada,CAN,1989,3.54148667,12.47078
Canada,CAN,1980,3.1179094839999997,13.54163
Canada,CAN,1991,4.238338658,12.32333
Canada,CAN,2003,3.439905182,10.612919999999999
Canada,CAN,1981,3.128014377,13.4263
Canada,CAN,1994,3.8881260280000003,11.94806
Canada,CAN,1995,3.968072106,12.46905
Canada,CAN,1996,3.7796245280000003,12.25137
Canada,CAN,1997,3.922756202,11.30162
Canada,CAN,1998,3.8859758610000004,11.27126
Canada,CAN,1999,3.9825739610000004,12.13107
Canada,CAN,2000,3.5024874789999996,10.696489999999999
Canada,CAN,2001,3.558097695,10.767619999999999
Canada,CAN,2002,3.548051357,10.46119
Canada,CAN,2004,3.2006139310000004,10.10099
Canada,CAN,1979,3.034821165,13.825729999999998
Canada,CAN,1992,3.7839297710000004,12.22278
Canada,CAN,1993,3.929460685,12.2041
Cape Verde,CPV,2004,1.4549158030000002,5.633333682999999
Central African Republic,CAF,2004,2.171511745,13.54841995
Chad,TCD,2004,2.136581112,8.283070563999999
Chile,CHL,1957,5.759339856,9.159602
Chile,CHL,1958,4.673624232,8.201006
Chile,CHL,1959,4.963732062,6.93117
Chile,CHL,1979,5.159209239,6.715106
Chile,CHL,1960,4.258015598,9.322284
Chile,CHL,1961,3.587990888,9.362956
Chile,CHL,1962,4.688115156,8.013679
Chile,CHL,1963,9.677609821,4.446839
Chile,CHL,1964,4.655518197,3.5451230000000002
Chile,CHL,1965,3.420693351,2.4738130000000003
Chile,CHL,1956,4.73340024,9.149643
Chile,CHL,1970,4.503272658999999,7.4186119999999995
Chile,CHL,1966,3.734816874,8.50732
Chile,CHL,1977,7.739769075,6.894048
Chile,CHL,1975,5.776114182000001,8.086133
Chile,CHL,1974,6.051452387,6.592803999999999
Chile,CHL,1976,4.401040302,6.591233
Chile,CHL,1971,5.949208146,7.009671000000001
Chile,CHL,1969,4.135499639,8.529561
Chile,CHL,1968,4.488873255,10.47899
Chile,CHL,1972,5.042484259,6.752884
Chile,CHL,1955,5.949265854,5.732178
Chile,CHL,1967,6.207237042,2.656462
Chile,CHL,1978,5.7950500279999995,6.103039
Chile,CHL,1973,4.799314227,6.184073000000001
Chile,CHL,1980,6.397968056,5.364541
Chile,CHL,1983,6.27038257,6.285039
Chile,CHL,1998,7.343281113,7.180727
Chile,CHL,1985,5.636222752999999,6.411797
Chile,CHL,1982,7.811043227000001,6.346614
Chile,CHL,1986,5.006840963,5.869994
Chile,CHL,1987,5.139628783,6.044198000000001
Chile,CHL,1988,5.547687925,5.967246
Chile,CHL,1989,6.886392024,6.044353
Chile,CHL,1990,6.3744118929999996,6.141553
Chile,CHL,1991,5.46552749,6.335704
Chile,CHL,1992,6.4931486529999995,5.133439
Chile,CHL,1984,7.0509546279999995,6.772761
Chile,CHL,1994,7.7977345179999995,6.051927
Chile,CHL,2001,6.384134757000001,10.61102
Chile,CHL,1993,5.94872387,5.751341
Chile,CHL,2004,5.8101075810000005,10.68438
Chile,CHL,2003,5.83817443,10.40894
Chile,CHL,2002,5.7898551970000005,10.2641
Chile,CHL,1981,5.392663724,6.45021
Chile,CHL,1999,6.99345518,7.095457000000001
Chile,CHL,1997,6.173814929,6.445821
Chile,CHL,1996,6.997663442,6.639486
Chile,CHL,1995,6.962118286,6.892183
Chile,CHL,2000,6.504397011,9.828766
China,CHN,2004,0.886915577,16.91324806
Colombia,COL,1974,3.196948913,4.668807
Colombia,COL,1959,2.747781522,3.564371
Colombia,COL,1953,4.843954622,1.143741
Colombia,COL,1954,4.6296739460000005,1.9392349999999998
Colombia,COL,1955,7.235706627999999,1.592191
Colombia,COL,1956,6.653157625,1.259542
Colombia,COL,1957,5.923355572,0.8708677
Colombia,COL,1958,2.9779645930000003,3.027905
Colombia,COL,1960,3.205675812,3.647928
Colombia,COL,1967,2.0951398340000003,8.422912
Colombia,COL,1961,2.407781158,4.86364
Colombia,COL,1963,2.568299111,5.711245
Colombia,COL,1964,2.349322321,5.996255000000001
Colombia,COL,1965,2.237499096,7.919828
Colombia,COL,1966,2.144930595,7.3776399999999995
Colombia,COL,1968,2.961712843,5.364674
Colombia,COL,1969,3.9414217839999997,3.9503410000000003
Colombia,COL,1972,3.224189235,4.65205
Colombia,COL,1962,3.201675963,5.712422
Colombia,COL,1976,3.469456542,4.243285
Colombia,COL,1975,3.090461129,4.353875
Colombia,COL,1993,4.732014787,3.530796
Colombia,COL,2004,4.078353042,5.3598419999999996
Colombia,COL,1984,4.488641808,4.271548
Colombia,COL,1991,4.2767941039999995,3.234375
Colombia,COL,1985,4.5092664639999995,4.051735
Colombia,COL,1986,4.221363082,3.6772129999999996
Colombia,COL,1987,4.770050911,3.164829
Colombia,COL,1988,5.376047441,3.051975
Colombia,COL,1989,4.5795062589999995,2.747055
Colombia,COL,1990,4.028798236,2.785237
Colombia,COL,1977,3.9894266419999997,3.666697
Colombia,COL,1992,4.354792934,3.5361860000000003
Colombia,COL,1994,4.109615024,3.812184
Colombia,COL,1995,4.030373345,3.3836169999999997
Colombia,COL,1996,4.5379597060000005,3.485843
Colombia,COL,1997,4.064731246,3.446733
Colombia,COL,1998,3.793437095,5.588333
Colombia,COL,2000,3.924088386,5.991631
Colombia,COL,2001,3.978047188,6.040267
Colombia,COL,2002,3.693608357,5.7284440000000005
Colombia,COL,1999,4.082646751,5.658078
Comoros,COM,2004,1.7418899959999998,4.751083851000001
Congo,COG,2004,1.889938467,9.873761177
Cook Islands,COK,2004,1.626312194,4.373364925
Costa Rica,CRI,1962,6.334164531,3.191089
Costa Rica,CRI,1976,4.948385163,7.761082000000001
Costa Rica,CRI,1964,6.244720857999999,4.2458730000000005
Costa Rica,CRI,1965,12.299155699999998,3.307125
Costa Rica,CRI,1966,11.07040929,4.695526
Costa Rica,CRI,1967,20.3259608,4.536897
Costa Rica,CRI,1968,11.54756845,3.973893
Costa Rica,CRI,1969,14.22844384,4.448352
Costa Rica,CRI,1970,9.198206272,3.369493
Costa Rica,CRI,1982,4.280315148,5.131508
Costa Rica,CRI,1972,5.4130166410000005,4.327007
Costa Rica,CRI,1980,4.449920603,6.468030000000001
Costa Rica,CRI,1979,5.938414541,4.458362999999999
Costa Rica,CRI,1978,4.530614086,5.073589
Costa Rica,CRI,1977,3.610058767,5.392558999999999
Costa Rica,CRI,1971,7.12134073,4.513411
Costa Rica,CRI,1975,4.264077843,5.511003
Costa Rica,CRI,1974,5.6994262220000005,5.2542480000000005
Costa Rica,CRI,1973,4.670545772,3.8223199999999995
Costa Rica,CRI,1981,5.449570884,4.8651
Costa Rica,CRI,1986,12.14665684,6.317044999999999
Costa Rica,CRI,1963,5.213779815,5.0869
Costa Rica,CRI,1984,5.14180509,5.493137
Costa Rica,CRI,1985,7.774687694,5.805994999999999
Costa Rica,CRI,2004,6.522532032999999,8.127507000000001
Costa Rica,CRI,1987,5.665384981,5.173544000000001
Costa Rica,CRI,1988,9.148051515,6.244262
Costa Rica,CRI,1989,5.0093627210000005,6.56845
Costa Rica,CRI,1990,8.324589634,6.197185
Costa Rica,CRI,1991,7.011009464,4.959392
Costa Rica,CRI,1992,6.285723404,5.57368
Costa Rica,CRI,1993,5.567252741,6.022556
Costa Rica,CRI,1983,7.367606585,6.4418370000000005
Costa Rica,CRI,1995,4.74131232,6.598767
Costa Rica,CRI,2003,5.55339122,8.001172
Costa Rica,CRI,2002,6.3852624,7.162078999999999
Costa Rica,CRI,2001,6.635714217,5.569319
Costa Rica,CRI,2000,7.710554534,6.668330999999999
Costa Rica,CRI,1994,4.997685196,5.668564
Costa Rica,CRI,1998,9.008120172,6.536646
Costa Rica,CRI,1997,6.175638305,5.810333
Costa Rica,CRI,1996,8.253902975,6.420972
Costa Rica,CRI,1999,9.570230992,6.66712
Cote d'Ivoire,CIV,2004,2.370370419,20.31793022
Croatia,HRV,1985,3.0307731280000003,19.2657
Croatia,HRV,1992,3.705387177,20.56279
Croatia,HRV,1991,3.009435368,19.34206
